agartala,agartala,0
agartala,agra,2482
agartala,ahmedabad,3221
agartala,allahabad,1999
agartala,amritsar,3067
agartala,asansol,1992
agartala,bangalore,3193
agartala,baroda,3179
agartala,bhopal,2613
agartala,bhubaneshwar,2202
agartala,bombay,3337
agartala,calcutta,1779
agartala,calicut,3329
agartala,chandigarh,2853
agartala,cochin,3551
agartala,coimbatore,3526
agartala,delhi,2622
agartala,gwalior,2406
agartala,hubli,2943
agartala,hyderabad,3066
agartala,imphal,3131
agartala,indore,2802
agartala,jabalpur,2333
agartala,jaipur,2709
agartala,jamshedpur,2047
agartala,jullundur,2997
agartala,kanpur,2192
agartala,kolhapur,3007
agartala,lucknow,2163
agartala,ludhiana,2932
agartala,madras,3409
agartala,madurai,3625
agartala,meerut,2531
agartala,nagpur,2590
agartala,nasik,3216
agartala,panjim,2753
agartala,patna,1597
agartala,pondicherry,3492
agartala,pune,3254
agartala,ranchi,1899
agartala,shillong,2616
agartala,shimla,2822
agartala,surat,3339
agartala,trivandrum,3545
agartala,varanasi,1877
agartala,vijayawada,2977
agartala,vishakapatnam,2647
agra,agartala,2482
agra,agra,0
agra,ahmedabad,794
agra,allahabad,399
agra,amritsar,561
agra,asansol,995
agra,bangalore,1725
agra,baroda,886
agra,bhopal,698
agra,bhubaneshwar,1489
agra,bombay,1096
agra,calcutta,1216
agra,calicut,2072
agra,chandigarh,364
agra,cochin,2194
agra,coimbatore,2058
agra,delhi,116
agra,gwalior,431
agra,hubli,1206
agra,hyderabad,1162
agra,imphal,2335
agra,indore,507
agra,jabalpur,749
agra,jaipur,146
agra,jamshedpur,1073
agra,jullundur,491
agra,kanpur,206
agra,kolhapur,1377
agra,lucknow,285
agra,ludhiana,426
agra,madras,1860
agra,madurai,2157
agra,meerut,182
agra,nagpur,686
agra,nasik,921
agra,panjim,1622
agra,patna,801
agra,pondicherry,2026
agra,pune,1130
agra,ranchi,929
agra,shillong,1820
agra,shimla,463
agra,surat,1057
agra,trivandrum,2066
agra,varanasi,521
agra,vijayawada,1428
agra,vishakapatnam,1596
ahmedabad,agartala,3221
ahmedabad,agra,794
ahmedabad,ahmedabad,0
ahmedabad,allahabad,1161
ahmedabad,amritsar,1270
ahmedabad,asansol,1635
ahmedabad,bangalore,1311
ahmedabad,baroda,35
ahmedabad,bhopal,439
ahmedabad,bhubaneshwar,1563
ahmedabad,bombay,468
ahmedabad,calcutta,1409
ahmedabad,calicut,1564
ahmedabad,chandigarh,1071
ahmedabad,cochin,1761
ahmedabad,coimbatore,1585
ahmedabad,delhi,827
ahmedabad,gwalior,835
ahmedabad,hubli,1017
ahmedabad,hyderabad,1125
ahmedabad,imphal,3097
ahmedabad,indore,358
ahmedabad,jabalpur,817
ahmedabad,jaipur,564
ahmedabad,jamshedpur,1141
ahmedabad,jullundur,1201
ahmedabad,kanpur,1047
